Passo,Step,Valor do Passo,Duracao (s),Timestamp
0,"[False, False, True, False]",2,7.788663864135742,1755377846.3294997
1,"[False, True, True, False]",6,1.9834744930267334,1755377848.312053
2,"[False, True, False, False]",4,0.14920973777770996,1755377848.4612627
3,"[False, True, False, True]",5,0.8380217552185059,1755377849.2992845
4,"[False, False, False, True]",1,0.07244563102722168,1755377849.37173
5,"[True, False, False, True]",9,0.7510397434234619,1755377850.1237469
6,"[True, False, False, False]",8,0.13959217071533203,1755377850.262362
7,"[True, False, True, False]",10,0.9381489753723145,1755377851.200511
8,"[False, False, True, False]",2,0.2107844352722168,1755377851.4122627
9,"[False, True, True, False]",6,2.060468912124634,1755377853.4717643
10,"[False, True, False, False]",4,0.12030577659606934,1755377853.59207
11,"[False, True, False, True]",5,0.8785226345062256,1755377854.4705927
12,"[False, False, False, True]",1,0.07597851753234863,1755377854.5470777
13,"[True, False, False, True]",9,0.7663149833679199,1755377855.3128862
14,"[True, False, False, False]",8,0.13705801963806152,1755377855.4499443
15,"[True, False, True, False]",10,0.964393138885498,1755377856.4143374
16,"[False, False, True, False]",2,0.21158885955810547,1755377856.6259263
17,"[False, True, True, False]",6,2.0716090202331543,1755377858.6975353
18,"[False, True, False, False]",4,0.12169504165649414,1755377858.8192303
19,"[False, True, False, True]",5,0.8924005031585693,1755377859.7116308
20,"[False, False, False, True]",1,0.07813692092895508,1755377859.7897677
21,"[True, False, False, True]",9,0.7682483196258545,1755377860.5589442
22,"[True, False, False, False]",8,0.1389789581298828,1755377860.696995
23,"[True, False, True, False]",10,0.9688546657562256,1755377861.6658497
24,"[False, False, True, False]",2,0.2143540382385254,1755377861.8802037
25,"[False, True, True, False]",6,2.0769495964050293,1755377863.9571533
26,"[False, True, False, False]",4,0.11894726753234863,1755377864.0761006
27,"[False, True, False, True]",5,0.8979191780090332,1755377864.9740198
28,"[False, False, False, True]",1,0.07698464393615723,1755377865.0519714
29,"[True, False, False, True]",9,0.7716186046600342,1755377865.822623
30,"[True, False, False, False]",8,0.13734769821166992,1755377865.9599707
31,"[True, False, True, False]",10,0.9741413593292236,1755377866.934112
32,"[False, False, True, False]",2,0.21561408042907715,1755377867.1497262
33,"[False, True, True, False]",6,2.076686143875122,1755377869.2273474
34,"[False, True, False, False]",4,0.12301373481750488,1755377869.349426
35,"[False, True, False, True]",5,0.892406702041626,1755377870.2418327
36,"[False, False, False, True]",1,0.0780484676361084,1755377870.3198812
37,"[True, False, False, True]",9,0.7709558010101318,1755377871.090837
38,"[True, False, False, False]",8,0.13878154754638672,1755377871.2296185
39,"[True, False, True, False]",10,0.9768242835998535,1755377872.2073767
40,"[False, False, True, False]",2,0.21445131301879883,1755377872.4208941
41,"[False, True, True, False]",6,2.0866611003875732,1755377874.5084908
42,"[False, True, False, False]",4,0.11815309524536133,1755377874.6257083
43,"[False, True, False, True]",5,0.9057233333587646,1755377875.5323584
44,"[False, False, False, True]",1,0.07794713973999023,1755377875.6093788
45,"[True, False, False, True]",9,0.7708804607391357,1755377876.3802593
46,"[True, False, False, False]",8,0.1399240493774414,1755377876.5211174
47,"[True, False, True, False]",10,0.9778070449829102,1755377877.4979904
48,"[False, False, True, False]",2,0.2138516902923584,1755377877.711842
49,"[False, True, True, False]",6,2.088181257247925,1755377879.8000233
50,"[False, True, False, False]",4,0.12297463417053223,1755377879.922998
51,"[False, True, False, True]",5,0.9070935249328613,1755377880.8310275
52,"[False, False, False, True]",1,0.07746458053588867,1755377880.907556
53,"[True, False, False, True]",9,0.7721335887908936,1755377881.6796896
54,"[True, False, False, False]",8,0.1405801773071289,1755377881.8202698
55,"[True, False, True, False]",10,0.9835560321807861,1755377882.8048198
56,"[False, False, True, False]",2,0.2141728401184082,1755377883.0179987
57,"[False, True, True, False]",6,2.093626022338867,1755377885.1125572
58,"[False, True, False, False]",4,0.12329578399658203,1755377885.2349205
59,"[False, True, False, True]",5,0.9010806083679199,1755377886.136001
60,"[False, False, False, True]",1,0.0755467414855957,1755377886.2115479
61,"[True, False, False, True]",9,0.7758872509002686,1755377886.987435
62,"[True, False, False, False]",8,0.13751983642578125,1755377887.124955
63,"[True, False, True, False]",10,0.9833865165710449,1755377888.1083415
64,"[False, False, True, False]",2,0.21616339683532715,1755377888.3245049
65,"[False, True, True, False]",6,2.0961427688598633,1755377890.4206476
66,"[False, True, False, False]",4,0.12034320831298828,1755377890.541974
67,"[False, True, False, True]",5,0.9100382328033447,1755377891.451029
68,"[False, False, False, True]",1,0.07859230041503906,1755377891.5296214
69,"[True, False, False, True]",9,0.7774033546447754,1755377892.3079588
70,"[True, False, False, False]",8,0.1384601593017578,1755377892.4454849
71,"[True, False, True, False]",10,0.9851884841918945,1755377893.4306734
72,"[False, False, True, False]",2,0.2176506519317627,1755377893.648324
73,"[False, True, True, False]",6,2.1040995121002197,1755377895.7524235
74,"[False, True, False, False]",4,0.12149453163146973,1755377895.8748555
75,"[False, True, False, True]",5,0.9124608039855957,1755377896.7863789
76,"[False, False, False, True]",1,0.07772445678710938,1755377896.8641033
77,"[True, False, False, True]",9,0.7777025699615479,1755377897.641806
78,"[True, False, False, False]",8,0.1394481658935547,1755377897.781254
79,"[True, False, True, False]",10,0.9965894222259521,1755377898.7778435
80,"[False, False, True, False]",2,0.20692801475524902,1755377898.9847715
81,"[False, True, True, False]",6,2.106863021850586,1755377901.0916345
82,"[False, True, False, False]",4,0.12170624732971191,1755377901.2133408
83,"[False, True, False, True]",5,0.9136154651641846,1755377902.1269562
84,"[False, False, False, True]",1,0.07777237892150879,1755377902.2053027
85,"[True, False, False, True]",9,0.7769160270690918,1755377902.9816446
86,"[True, False, False, False]",8,0.1404421329498291,1755377903.1220868
87,"[True, False, True, False]",10,0.9882631301879883,1755377904.11035
88,"[False, False, True, False]",2,0.21653962135314941,1755377904.3268895
89,"[False, True, True, False]",6,2.1146697998046875,1755377906.4415593
90,"[False, True, False, False]",4,0.12290334701538086,1755377906.5644627
91,"[False, True, False, True]",5,0.9087953567504883,1755377907.473258
92,"[False, False, False, True]",1,0.07679057121276855,1755377907.5500486
93,"[True, False, False, True]",9,0.7790238857269287,1755377908.3290725
94,"[True, False, False, False]",8,0.14225316047668457,1755377908.4713256
95,"[True, False, True, False]",10,0.9914326667785645,1755377909.4627583
96,"[False, False, True, False]",2,0.214371919631958,1755377909.6781237
97,"[False, True, True, False]",6,2.1174988746643066,1755377911.794629
98,"[False, True, False, False]",4,0.12266874313354492,1755377911.9172978
99,"[False, True, False, True]",5,0.9176337718963623,1755377912.8349316
100,"[False, False, False, True]",1,0.076568603515625,1755377912.9115002
101,"[True, False, False, True]",9,0.7817754745483398,1755377913.6932757
102,"[True, False, False, False]",8,0.13747358322143555,1755377913.8317006
103,"[True, False, True, False]",10,0.992393970489502,1755377914.824075
104,"[False, False, True, False]",2,0.21915054321289062,1755377915.0422938
105,"[False, True, True, False]",6,2.119013786315918,1755377917.1613076
106,"[False, True, False, False]",4,0.12286233901977539,1755377917.2851079
107,"[False, True, False, True]",5,0.9127976894378662,1755377918.1969676
108,"[False, False, False, True]",1,0.07801198959350586,1755377918.2749796
109,"[True, False, False, True]",9,0.779705286026001,1755377919.0546849
110,"[True, False, False, False]",8,0.1403796672821045,1755377919.1950645
111,"[True, False, True, False]",10,0.9953157901763916,1755377920.1903803
112,"[False, False, True, False]",2,0.2189955711364746,1755377920.409376
113,"[False, True, True, False]",6,2.122272491455078,1755377922.5316484
114,"[False, True, False, False]",4,0.1409769058227539,1755377922.6726253
115,"[False, True, False, True]",5,0.8965592384338379,1755377923.5691845
116,"[False, False, False, True]",1,0.07861208915710449,1755377923.6477966
117,"[True, False, False, True]",9,0.7809593677520752,1755377924.428756
118,"[True, False, False, False]",8,0.1399519443511963,1755377924.568708
119,"[True, False, True, False]",10,0.9973273277282715,1755377925.5660353
120,"[False, False, True, False]",2,0.2164781093597412,1755377925.7825134
121,"[False, True, True, False]",6,2.1277079582214355,1755377927.9102213
122,"[False, True, False, False]",4,0.124603271484375,1755377928.0348246
123,"[False, True, False, True]",5,0.9138836860656738,1755377928.9487083
124,"[False, False, False, True]",1,0.07919859886169434,1755377929.0289018
125,"[True, False, False, True]",9,0.7812471389770508,1755377929.809154
126,"[True, False, False, False]",8,0.1394331455230713,1755377929.9485872
127,"[True, False, True, False]",10,0.9965968132019043,1755377930.945184
128,"[False, False, True, False]",2,0.21944689750671387,1755377931.1655655
129,"[False, True, True, False]",6,2.1284966468811035,1755377933.2940574
130,"[False, True, False, False]",4,0.12360596656799316,1755377933.4167335
131,"[False, True, False, True]",5,0.925471305847168,1755377934.3432004
132,"[False, False, False, True]",1,0.06896662712097168,1755377934.4111714
133,"[True, False, False, True]",9,0.7812502384185791,1755377935.1924217
134,"[True, False, False, False]",8,0.14063811302185059,1755377935.3330598
135,"[True, False, True, False]",10,0.9964759349822998,1755377936.3304684
136,"[False, False, True, False]",2,0.2179732322692871,1755377936.548015
137,"[False, True, True, False]",6,2.127828598022461,1755377938.6753376
138,"[False, True, False, False]",4,0.12292218208312988,1755377938.7982597
139,"[False, True, False, True]",5,0.9217212200164795,1755377939.719981
140,"[False, False, False, True]",1,0.07882070541381836,1755377939.7988017
141,"[True, False, False, True]",9,0.7818217277526855,1755377940.5815442
142,"[True, False, False, False]",8,0.13810944557189941,1755377940.7187328
143,"[True, False, True, False]",10,0.9986369609832764,1755377941.7173698
