Passo,Step,Valor do Passo,Duracao (s),Timestamp
0,"[True, False, False, True]",9,8.183441162109375,1761073544.4722378
1,"[False, False, False, True]",1,0.15326738357543945,1761073544.6242988
2,"[False, True, False, True]",5,1.650620937347412,1761073546.2750924
3,"[False, False, False, True]",1,0.22960400581359863,1761073546.5046446
4,"[True, False, False, True]",9,11.06776213645935,1761073557.5726647
5,"[True, False, False, False]",8,0.09135246276855469,1761073557.663648
6,"[True, False, True, False]",10,0.1384139060974121,1761073557.8020606
7,"[False, False, True, False]",2,0.29184508323669434,1761073558.0930202
8,"[False, True, True, False]",6,1.7064862251281738,1761073559.7995064
9,"[False, True, False, False]",4,0.07596778869628906,1761073559.8763604
10,"[False, True, False, True]",5,0.19902658462524414,1761073560.0745008
11,"[False, False, False, True]",1,0.9057140350341797,1761073560.9812894
12,"[True, False, False, True]",9,5.121287822723389,1761073566.1015027
13,"[True, False, False, False]",8,0.09330916404724121,1761073566.195727
14,"[True, False, True, False]",10,0.14081954956054688,1761073566.3366196
15,"[False, False, True, False]",2,0.278698205947876,1761073566.6162217
16,"[False, True, True, False]",6,1.7066400051116943,1761073568.3219457
17,"[False, True, False, False]",4,0.09174466133117676,1761073568.4138024
18,"[False, True, False, True]",5,0.18454504013061523,1761073568.5981174
19,"[False, False, False, True]",1,0.2319962978363037,1761073568.8301475
20,"[True, False, False, True]",9,1.9612908363342285,1761073570.7905464
21,"[True, False, False, False]",8,0.09253811836242676,1761073570.8840337
22,"[True, False, True, False]",10,0.13898611068725586,1761073571.0220706
23,"[False, False, True, False]",2,0.27484869956970215,1761073571.2969193
24,"[False, True, True, False]",6,1.7378816604614258,1761073573.0358138
25,"[False, True, False, False]",4,0.07640576362609863,1761073573.1121054
26,"[False, True, False, True]",5,0.19960570335388184,1761073573.3108125
27,"[False, False, False, True]",1,0.24728178977966309,1761073573.5580943
28,"[True, False, False, True]",9,2.128364324569702,1761073575.6885014
29,"[True, False, False, False]",8,0.09271383285522461,1761073575.780131
30,"[True, False, True, False]",10,0.1552424430847168,1761073575.9356704
31,"[False, False, True, False]",2,0.26000499725341797,1761073576.1953385
32,"[False, True, True, False]",6,1.7441215515136719,1761073577.9394746
33,"[False, True, False, False]",4,0.07503056526184082,1761073578.0148058
34,"[False, True, False, True]",5,0.19971108436584473,1761073578.2142477
35,"[False, False, False, True]",1,0.2289121150970459,1761073578.4431
36,"[True, False, False, True]",9,2.1199803352355957,1761073580.5621755
37,"[True, False, False, False]",8,0.09278535842895508,1761073580.6559799
38,"[True, False, True, False]",10,0.14969825744628906,1761073580.8057878
39,"[False, False, True, False]",2,0.2630040645599365,1761073581.0676632
40,"[False, True, True, False]",6,1.7558722496032715,1761073582.8244364
41,"[False, True, False, False]",4,0.0764622688293457,1761073582.9009175
42,"[False, True, False, True]",5,0.20029139518737793,1761073583.100289
43,"[False, False, False, True]",1,0.2297661304473877,1761073583.3310494
44,"[True, False, False, True]",9,2.119751453399658,1761073585.4509706
