Passo,Step,Valor do Passo,Duracao (s),Timestamp
0,"[False, True, True, False, False, True, False, True]",101,0.07133650779724121,1752098457.0176063
1,"[False, True, False, False, False, True, False, True]",69,0.05522799491882324,1752098457.0718374
2,"[False, True, False, True, True, False, False, True]",89,0.16897273063659668,1752098457.2408102
3,"[False, False, False, True, True, False, False, True]",25,0.06880974769592285,1752098457.30962
4,"[False, False, False, False, True, False, False, True]",9,0.05090188980102539,1752098457.3605218
5,"[True, False, False, False, True, False, True, False]",138,0.20707225799560547,1752098457.567594
6,"[True, False, False, True, True, False, True, False]",154,0.08836507797241211,1752098457.6559591
7,"[True, False, False, False, True, False, True, False]",138,0.04376721382141113,1752098457.6997263
8,"[True, False, True, False, True, False, True, False]",170,0.1188805103302002,1752098457.8186069
9,"[True, False, True, False, False, True, False, False]",164,0.003982067108154297,1752098457.822589
10,"[True, False, False, False, False, True, False, False]",132,0.03713583946228027,1752098457.8597248
11,"[False, False, False, False, False, True, False, False]",4,0.06046605110168457,1752098457.9201908
12,"[False, True, False, False, False, True, False, True]",69,0.5399160385131836,1752098458.4601068
13,"[False, True, True, False, False, True, False, True]",101,0.2808413505554199,1752098458.7409482
14,"[False, True, False, False, False, True, False, True]",69,0.05793595314025879,1752098458.7988842
15,"[False, True, False, True, True, False, False, True]",89,0.1688551902770996,1752098458.9677393
16,"[False, False, False, True, True, False, False, True]",25,0.07126045227050781,1752098459.0389998
17,"[False, False, False, False, True, False, False, True]",9,0.04790210723876953,1752098459.086902
18,"[True, False, False, False, True, False, True, False]",138,0.2077622413635254,1752098459.2946641
19,"[True, False, False, True, True, False, True, False]",154,0.09120416641235352,1752098459.3858683
20,"[True, False, False, False, True, False, True, False]",138,0.04238533973693848,1752098459.4282537
21,"[True, False, True, False, True, False, True, False]",170,0.11826133728027344,1752098459.546515
22,"[True, False, True, False, False, True, False, False]",164,0.0019969940185546875,1752098459.548512
23,"[True, False, False, False, False, True, False, False]",132,0.04185748100280762,1752098459.5903695
24,"[False, False, False, False, False, True, False, False]",4,0.05736708641052246,1752098459.6477365
25,"[False, True, False, False, False, True, False, True]",69,0.5402483940124512,1752098460.187985
