Passo,Step,Valor do Passo,Duracao (s),Timestamp
0,"[False, False, True, False]",2,5.571078300476074,1755378734.4267728
1,"[False, True, True, False]",6,2.2213830947875977,1755378736.6462166
2,"[False, False, True, False]",2,0.06544089317321777,1755378736.71257
3,"[True, False, True, False]",10,0.8042867183685303,1755378737.5159442
4,"[True, False, False, False]",8,0.1525115966796875,1755378737.6684558
5,"[True, False, False, True]",9,0.8883533477783203,1755378738.5568092
6,"[True, False, False, False]",8,0.1003115177154541,1755378738.6571207
7,"[True, False, True, False]",10,0.9930524826049805,1755378739.6511698
8,"[False, False, True, False]",2,0.2324049472808838,1755378739.8825781
9,"[False, True, True, False]",6,2.2665770053863525,1755378742.1491551
10,"[False, False, True, False]",2,0.0609128475189209,1755378742.210068
11,"[True, False, True, False]",10,0.8245029449462891,1755378743.034571
12,"[True, False, False, False]",8,0.1336688995361328,1755378743.1682398
13,"[True, False, False, True]",9,0.920245885848999,1755378744.0884857
14,"[True, False, False, False]",8,0.10401535034179688,1755378744.192501
15,"[True, False, True, False]",10,1.0141870975494385,1755378745.2066882
16,"[False, False, True, False]",2,0.22998666763305664,1755378745.4366748
17,"[False, True, True, False]",6,2.278857946395874,1755378747.7155328
18,"[False, False, True, False]",2,0.06520581245422363,1755378747.7807386
19,"[True, False, True, False]",10,0.8272874355316162,1755378748.608026
20,"[True, False, False, False]",8,0.1343388557434082,1755378748.742365
21,"[True, False, False, True]",9,0.9276347160339355,1755378749.6699996
22,"[True, False, False, False]",8,0.10095620155334473,1755378749.7709558
23,"[True, False, True, False]",10,1.0230169296264648,1755378750.7939727
24,"[False, False, True, False]",2,0.22995877265930176,1755378751.0239315
25,"[False, True, True, False]",6,2.2787466049194336,1755378753.302678
26,"[False, False, True, False]",2,0.06167006492614746,1755378753.3643482
27,"[True, False, True, False]",10,0.8334178924560547,1755378754.197766
28,"[True, False, False, False]",8,0.13335704803466797,1755378754.331123
29,"[True, False, False, True]",9,0.9297494888305664,1755378755.261848
30,"[True, False, False, False]",8,0.1030583381652832,1755378755.3648634
31,"[True, False, True, False]",10,1.02656888961792,1755378756.3904998
32,"[False, False, True, False]",2,0.2311537265777588,1755378756.6216536
33,"[False, True, True, False]",6,2.2815001010894775,1755378758.9031537
34,"[False, False, True, False]",2,0.06023216247558594,1755378758.9633858
35,"[True, False, True, False]",10,0.8360047340393066,1755378759.7993906
36,"[True, False, False, False]",8,0.13440179824829102,1755378759.9337924
37,"[True, False, False, True]",9,0.9309675693511963,1755378760.865753
38,"[True, False, False, False]",8,0.1030275821685791,1755378760.9677875
39,"[True, False, True, False]",10,1.0311636924743652,1755378761.9989512
40,"[False, False, True, False]",2,0.23298001289367676,1755378762.2328594
41,"[False, True, True, False]",6,2.278376340866089,1755378764.5103076
42,"[False, False, True, False]",2,0.06311631202697754,1755378764.5734239
43,"[True, False, True, False]",10,0.836951732635498,1755378765.4103756
44,"[True, False, False, False]",8,0.13261151313781738,1755378765.542987
45,"[True, False, False, True]",9,0.9340164661407471,1755378766.4770036
46,"[True, False, False, False]",8,0.10437345504760742,1755378766.581377
47,"[True, False, True, False]",10,1.0333247184753418,1755378767.6147017
48,"[False, False, True, False]",2,0.2305290699005127,1755378767.846197
49,"[False, True, True, False]",6,2.2827792167663574,1755378770.12801
50,"[False, False, True, False]",2,0.06442046165466309,1755378770.1924305
51,"[True, False, True, False]",10,0.8366765975952148,1755378771.029107
52,"[True, False, False, False]",8,0.1339704990386963,1755378771.1630776
53,"[True, False, False, True]",9,0.9317100048065186,1755378772.0947876
54,"[True, False, False, False]",8,0.10227537155151367,1755378772.1979978
55,"[True, False, True, False]",10,1.035663366317749,1755378773.2336612
56,"[False, False, True, False]",2,0.2308824062347412,1755378773.4636087
57,"[False, True, True, False]",6,2.2812485694885254,1755378775.745859
58,"[False, False, True, False]",2,0.06286740303039551,1755378775.8087053
59,"[True, False, True, False]",10,0.8383080959320068,1755378776.6460328
60,"[True, False, False, False]",8,0.13311982154846191,1755378776.7791526
61,"[True, False, False, True]",9,0.9352288246154785,1755378777.7143815
62,"[True, False, False, False]",8,0.10286402702331543,1755378777.8181899
63,"[True, False, True, False]",10,1.0382153987884521,1755378778.855461
64,"[False, False, True, False]",2,0.23352265357971191,1755378779.0889835
65,"[False, True, True, False]",6,2.2787668704986572,1755378781.3677504
66,"[False, False, True, False]",2,0.06264019012451172,1755378781.4303906
67,"[True, False, True, False]",10,0.8386914730072021,1755378782.2700174
68,"[True, False, False, False]",8,0.1356794834136963,1755378782.405763
