Passo,Step,Valor do Passo,Duracao (s),Timestamp
0,"[True, False, False, True]",9,1.4791057109832764,1761070666.198726
1,"[True, False, False, False]",8,0.09320688247680664,1761070666.2909515
2,"[True, False, True, False]",10,0.13784122467041016,1761070666.4287927
3,"[False, False, True, False]",2,0.20476007461547852,1761070666.6335528
4,"[False, True, True, False]",6,1.4562013149261475,1761070668.089754
5,"[False, True, False, False]",4,0.0758216381072998,1761070668.1655757
6,"[False, True, False, True]",5,0.18684172630310059,1761070668.3534002
7,"[False, False, False, True]",1,0.2705261707305908,1761070668.6229436
8,"[True, False, False, True]",9,2.8128130435943604,1761070671.4357567
9,"[True, False, False, False]",8,0.09359002113342285,1761070671.5293467
10,"[True, False, True, False]",10,0.14025259017944336,1761070671.6695993
11,"[False, False, True, False]",2,0.20496821403503418,1761070671.8745675
12,"[False, True, True, False]",6,1.4556865692138672,1761070673.330254
13,"[False, True, False, False]",4,0.07816696166992188,1761070673.408421
14,"[False, True, False, True]",5,0.19308805465698242,1761070673.601509
15,"[False, False, False, True]",1,0.2691805362701416,1761070673.8706896
16,"[True, False, False, True]",9,2.8590245246887207,1761070676.7297142
17,"[True, False, False, False]",8,0.0928497314453125,1761070676.822564
18,"[True, False, True, False]",10,0.13827252388000488,1761070676.9608364
19,"[False, False, True, False]",2,0.20435762405395508,1761070677.165194
20,"[False, True, True, False]",6,1.4576549530029297,1761070678.622849
21,"[False, True, False, False]",4,0.07830524444580078,1761070678.7011542
22,"[False, True, False, True]",5,0.18828201293945312,1761070678.8894362
23,"[False, False, False, True]",1,0.27210521697998047,1761070679.1615415
24,"[True, False, False, True]",9,2.896834135055542,1761070682.0588737
25,"[True, False, False, False]",8,0.0904092788696289,1761070682.1487849
26,"[True, False, True, False]",10,0.1398301124572754,1761070682.288615
27,"[False, False, True, False]",2,0.20242834091186523,1761070682.4910433
28,"[False, True, True, False]",6,1.4635255336761475,1761070683.9545689
29,"[False, True, False, False]",4,0.07840895652770996,1761070684.0329778
30,"[False, True, False, True]",5,0.18703031539916992,1761070684.2200081
31,"[False, False, False, True]",1,0.27961230278015137,1761070684.4996204
32,"[True, False, False, True]",9,2.9547066688537598,1761070687.454327
33,"[True, False, False, False]",8,0.09295272827148438,1761070687.5472798
34,"[True, False, True, False]",10,0.1380171775817871,1761070687.685297
35,"[False, False, True, False]",2,0.20345759391784668,1761070687.8887546
36,"[False, True, True, False]",6,1.462432861328125,1761070689.3511875
37,"[False, True, False, False]",4,0.07916998863220215,1761070689.4303575
38,"[False, True, False, True]",5,0.1875917911529541,1761070689.6179492
39,"[False, False, False, True]",1,0.28029751777648926,1761070689.8982468
40,"[True, False, False, True]",9,2.9832499027252197,1761070692.8814967
41,"[True, False, False, False]",8,0.0934293270111084,1761070692.974926
42,"[True, False, True, False]",10,0.13759350776672363,1761070693.1125195
43,"[False, False, True, False]",2,0.2013089656829834,1761070693.3138285
44,"[False, True, True, False]",6,1.4688687324523926,1761070694.7826972
45,"[False, True, False, False]",4,0.07758092880249023,1761070694.8602781
46,"[False, True, False, True]",5,0.18881678581237793,1761070695.049095
47,"[False, False, False, True]",1,0.286022424697876,1761070695.3351173
48,"[True, False, False, True]",9,3.0437798500061035,1761070698.3788972
49,"[True, False, False, False]",8,0.0937340259552002,1761070698.4726312
50,"[True, False, True, False]",10,0.1431894302368164,1761070698.6158206
51,"[False, False, True, False]",2,0.1926255226135254,1761070698.8084462
52,"[False, True, True, False]",6,1.4722900390625,1761070700.2807362
53,"[False, True, False, False]",4,0.07693982124328613,1761070700.3586502
54,"[False, True, False, True]",5,0.18883633613586426,1761070700.5465124
55,"[False, False, False, True]",1,0.29090094566345215,1761070700.8374133
56,"[True, False, False, True]",9,3.08843731880188,1761070703.9258506
57,"[True, False, False, False]",8,0.09475159645080566,1761070704.0206022
58,"[True, False, True, False]",10,0.1347789764404297,1761070704.1553812
59,"[False, False, True, False]",2,0.19810247421264648,1761070704.3534837
60,"[False, True, True, False]",6,1.4897377490997314,1761070705.8432214
61,"[False, True, False, False]",4,0.07615399360656738,1761070705.9193754
62,"[False, True, False, True]",5,0.19710946083068848,1761070706.1173968
63,"[False, False, False, True]",1,0.2861318588256836,1761070706.403853
64,"[True, False, False, True]",9,3.117903470993042,1761070709.5205202
65,"[True, False, False, False]",8,0.10746288299560547,1761070709.627983
66,"[True, False, True, False]",10,0.1206355094909668,1761070709.7495384
67,"[False, False, True, False]",2,0.1975400447845459,1761070709.9471412
68,"[False, True, True, False]",6,1.479020118713379,1761070711.4251788
69,"[False, True, False, False]",4,0.07476234436035156,1761070711.499941
70,"[False, True, False, True]",5,0.1832122802734375,1761070711.6831534
71,"[False, False, False, True]",1,0.30687856674194336,1761070711.990032
72,"[True, False, False, True]",9,3.1675260066986084,1761070715.1584737
73,"[True, False, False, False]",8,0.0912785530090332,1761070715.2488365
74,"[True, False, True, False]",10,0.13514447212219238,1761070715.383981
75,"[False, False, True, False]",2,0.19815778732299805,1761070715.5821388
76,"[False, True, True, False]",6,1.4910047054290771,1761070717.0741258
77,"[False, True, False, False]",4,0.07690978050231934,1761070717.1500533
78,"[False, True, False, True]",5,0.1817004680633545,1761070717.3317537
79,"[False, False, False, True]",1,0.30669474601745605,1761070717.6384485
80,"[True, False, False, True]",9,3.2275216579437256,1761070720.8668466
81,"[True, False, False, False]",8,0.08895111083984375,1761070720.9558005
82,"[True, False, True, False]",10,0.1376199722290039,1761070721.0925412
83,"[False, False, True, False]",2,0.19453215599060059,1761070721.2879965
84,"[False, True, True, False]",6,1.4912118911743164,1761070722.779197
85,"[False, True, False, False]",4,0.07514476776123047,1761070722.8543134
86,"[False, True, False, True]",5,0.18143892288208008,1761070723.0357678
87,"[False, False, False, True]",1,0.3062310218811035,1761070723.3411
88,"[True, False, False, True]",9,3.2653696537017822,1761070726.6073713
89,"[False, False, False, True]",1,0.5138049125671387,1761070727.1214497
90,"[False, False, False, True]",1,30.001830101013184,1761070757.1221046
