Passo,Step,Valor do Passo,Duracao (s),Timestamp
0,"[True, False, False, True]",9,1.7637760639190674,1753313662.8371258
1,"[True, False, True, False]",10,4.999516248703003,1753313667.836642
2,"[False, False, False, False]",0,2.000070095062256,1753313669.8367121
3,"[False, True, False, False]",4,0.003996372222900391,1753313669.8407085
4,"[False, True, False, True]",5,1.9978764057159424,1753313671.838585
5,"[True, False, False, True]",9,2.000488042831421,1753313673.839073
6,"[True, False, True, False]",10,4.999865770339966,1753313678.8389387
7,"[False, False, False, False]",0,1.9998807907104492,1753313680.8388195
8,"[False, True, False, False]",4,0.002000570297241211,1753313680.84082
9,"[False, True, False, True]",5,1.999619722366333,1753313682.8404398
10,"[True, False, False, True]",9,2.003028154373169,1753313684.843468
11,"[True, False, True, False]",10,4.9983532428741455,1753313689.8418212
13,"[False, True, False, False]",4,0.0019960403442382812,1753313691.845095
12,"[False, False, False, False]",0,2.0012776851654053,1753313691.8430989
14,"[False, True, False, True]",5,2.001268148422241,1753313693.846363
15,"[True, False, False, True]",9,1.9999094009399414,1753313695.8462725
16,"[True, False, True, False]",10,4.999244213104248,1753313700.8455167
17,"[False, False, False, False]",0,2.0008811950683594,1753313702.8463979
18,"[False, True, False, False]",4,0.002000093460083008,1753313702.848398
19,"[False, True, False, True]",5,2.000845193862915,1753313704.8492432
20,"[True, False, False, True]",9,1.9999146461486816,1753313706.8491578
21,"[True, False, True, False]",10,4.999453067779541,1753313711.8486109
22,"[False, True, False, False]",4,2.003777503967285,1753313713.8523884
23,"[False, True, False, True]",5,1.997161865234375,1753313715.8495502
24,"[True, False, False, True]",9,2.001758098602295,1753313717.8513083
25,"[True, False, True, False]",10,4.999849557876587,1753313722.851158
26,"[False, False, False, False]",0,1.9998779296875,1753313724.8510358
27,"[False, True, False, False]",4,0.001996278762817383,1753313724.853032
28,"[False, True, False, True]",5,2.001054048538208,1753313726.8540862
29,"[True, False, False, True]",9,2.0000457763671875,1753313728.854132
30,"[True, False, True, False]",10,4.999871492385864,1753313733.8540034
31,"[False, True, False, False]",4,2.0026636123657227,1753313735.856667
32,"[False, True, False, True]",5,2.0122547149658203,1753313737.8689218
33,"[True, False, False, True]",9,1.9873096942901611,1753313739.8562315
34,"[True, False, True, False]",10,5.005162477493286,1753313744.861394
35,"[False, False, False, False]",0,2.0006518363952637,1753313746.8620458
36,"[False, True, False, False]",4,0.0020012855529785156,1753313746.864047
37,"[False, True, False, True]",5,2.0021002292633057,1753313748.8661473
38,"[True, False, False, True]",9,1.995915174484253,1753313750.8620625
39,"[True, False, True, False]",10,5.001699209213257,1753313755.8637617
40,"[False, True, False, False]",4,2.000924825668335,1753313757.8646865
41,"[False, True, False, True]",5,2.0004658699035645,1753313759.8651524
42,"[True, False, False, True]",9,2.000089406967163,1753313761.8652418
43,"[True, False, True, False]",10,4.998962163925171,1753313766.864204
44,"[False, False, False, False]",0,2.001697063446045,1753313768.865901
45,"[False, True, False, False]",4,0.0020062923431396484,1753313768.8679073
46,"[False, True, False, True]",5,2.00032901763916,1753313770.8682363
47,"[True, False, False, True]",9,1.9992573261260986,1753313772.8674936
48,"[True, False, True, False]",10,5.000457525253296,1753313777.8679512
49,"[False, True, False, False]",4,2.0051419734954834,1753313779.8730931
50,"[False, True, False, True]",5,1.9962806701660156,1753313781.8693738
51,"[True, False, False, True]",9,1.9993822574615479,1753313783.868756
52,"[True, False, True, False]",10,5.000356674194336,1753313788.8691127
53,"[False, False, False, False]",0,2.0003345012664795,1753313790.8694472
54,"[False, True, False, False]",4,0.0024161338806152344,1753313790.8718634
55,"[False, True, False, True]",5,2.0002403259277344,1753313792.8721037
56,"[True, False, False, True]",9,1.9993243217468262,1753313794.871428
57,"[True, False, True, False]",10,4.999741077423096,1753313799.871169
58,"[False, False, False, False]",0,2.0002338886260986,1753313801.871403
59,"[False, True, False, False]",4,0.008023738861083984,1753313801.8804314
60,"[False, True, False, True]",5,1.993300437927246,1753313803.8727272
61,"[True, False, False, True]",9,2.0014150142669678,1753313805.8741422
62,"[True, False, True, False]",10,5.000704050064087,1753313810.8748462
63,"[False, False, False, False]",0,2.0013370513916016,1753313812.8761833
64,"[False, True, False, False]",4,0.001995563507080078,1753313812.8845227
65,"[False, True, False, True]",5,1.9999158382415771,1753313814.8780947
66,"[True, False, False, True]",9,1.9979395866394043,1753313816.8760343
67,"[True, False, True, False]",10,4.999779224395752,1753313821.8758135
69,"[False, True, False, False]",4,0.0020003318786621094,1753313823.8791642
68,"[False, False, False, False]",0,2.0013504028320312,1753313823.877164
70,"[False, True, False, True]",5,2.000429153442383,1753313825.8795934
71,"[True, False, False, True]",9,1.9996287822723389,1753313827.8792222
72,"[True, False, True, False]",10,4.999784231185913,1753313832.8790064
73,"[False, True, False, False]",4,2.000896692276001,1753313834.879903
74,"[False, True, False, True]",5,2.002100944519043,1753313836.882004
75,"[True, False, False, True]",9,2.001253843307495,1753313838.8832579
76,"[True, False, True, False]",10,4.999155044555664,1753313843.882413
77,"[False, False, False, False]",0,2.0012221336364746,1753313845.883635
78,"[False, True, False, False]",4,0.003996849060058594,1753313845.887632
79,"[False, True, False, True]",5,1.99796462059021,1753313847.8855965
80,"[True, False, False, True]",9,1.999788522720337,1753313849.885385
81,"[True, False, True, False]",10,5.002213001251221,1753313854.887598
82,"[False, False, False, False]",0,2.0009806156158447,1753313856.8885787
83,"[False, True, False, False]",4,0.0019948482513427734,1753313856.8905735
84,"[False, True, False, True]",5,2.000002861022949,1753313858.8905764
85,"[True, False, False, True]",9,2.0015580654144287,1753313860.8921344
86,"[True, False, True, False]",10,4.999092102050781,1753313865.8912265
87,"[False, False, False, False]",0,2.0002834796905518,1753313867.89151
