Passo,Step,Valor do Passo,Duracao (s),Timestamp
0,"[False, True, False, False, False, True, True, False]",70,1.6826705932617188,1751935339.1115038
1,"[False, False, False, False, False, True, True, False]",6,0.4265732765197754,1751935339.538077
2,"[False, True, False, False, False, True, True, False]",70,18.900295734405518,1751935358.4383729
3,"[False, False, False, False, False, True, True, False]",6,1.9517862796783447,1751935360.3901591
4,"[False, False, False, False, True, True, True, False]",14,1.8419153690338135,1751935362.2320745
5,"[False, False, False, False, False, True, True, False]",6,0.06839966773986816,1751935362.3004742
6,"[False, False, False, True, False, True, True, False]",22,0.05449652671813965,1751935362.3549707
7,"[False, False, False, False, False, True, True, False]",6,0.04185628890991211,1751935362.396827
8,"[False, False, True, False, False, True, True, False]",38,0.17680096626281738,1751935362.573628
9,"[False, False, True, False, False, True, False, True]",37,0.8492851257324219,1751935363.422913
10,"[False, False, True, False, False, False, False, True]",33,0.2189195156097412,1751935363.6418326
11,"[False, False, True, False, False, False, True, False]",34,1.2750542163848877,1751935364.9168868
12,"[False, False, True, False, False, True, True, False]",38,0.18465089797973633,1751935365.1015377
13,"[False, False, False, False, False, True, True, False]",6,0.8948047161102295,1751935365.9963424
14,"[True, False, False, False, False, True, True, False]",134,2.830904245376587,1751935368.8272467
15,"[False, False, False, False, False, True, True, False]",6,0.20737552642822266,1751935369.0346222
16,"[False, True, False, False, False, True, True, False]",70,11.412358522415161,1751935380.4469807
17,"[False, False, False, False, False, True, True, False]",6,1.9384877681732178,1751935382.3854685
18,"[False, False, False, False, True, True, True, False]",14,1.8718159198760986,1751935384.258278
19,"[False, False, False, False, False, True, True, False]",6,0.03935503959655762,1751935384.2966394
20,"[False, False, False, True, False, True, True, False]",22,0.05745983123779297,1751935384.3540993
21,"[False, False, False, False, False, True, True, False]",6,0.05548739433288574,1751935384.4095867
22,"[False, False, True, False, False, True, True, False]",38,0.16613483428955078,1751935384.5757215
23,"[False, False, True, False, False, True, False, True]",37,0.8136680126190186,1751935385.3893895
24,"[False, False, True, False, False, False, False, True]",33,0.21697568893432617,1751935385.6063652
25,"[False, False, True, False, False, False, True, False]",34,1.170729160308838,1751935386.7770944
26,"[False, False, True, False, False, True, True, False]",38,0.18350434303283691,1751935386.9605987
27,"[False, False, False, False, False, True, True, False]",6,0.8555178642272949,1751935387.8161166
28,"[True, False, False, False, False, True, True, False]",134,2.8673062324523926,1751935390.6834228
29,"[False, False, False, False, False, True, True, False]",6,0.18933558464050293,1751935390.8727584
30,"[False, False, False, False, False, True, True, False]",6,30.001001596450806,1751935420.87376
