Passo,Step,Valor do Passo,Duracao (s),Timestamp
1,"[True, False, True, False, False, True, False, False]",164,0.002942323684692383,1752098399.8779874
0,"[True, False, True, False, False, False, False, False]",160,17.184736490249634,1752098399.8744516
2,"[False, False, True, False, False, True, False, False]",36,0.12158036231994629,1752098399.9989743
3,"[False, True, True, False, False, True, False, True]",101,0.49551844596862793,1752098400.4944928
4,"[False, True, False, False, False, True, False, True]",69,0.09621810913085938,1752098400.5907109
5,"[False, True, False, True, True, False, False, True]",89,0.3688998222351074,1752098400.9596107
6,"[False, False, False, True, True, False, False, True]",25,0.07168698310852051,1752098401.0312977
7,"[False, False, False, False, True, False, False, True]",9,0.0261080265045166,1752098401.0574057
8,"[True, False, False, False, True, False, True, False]",138,0.23372983932495117,1752098401.2911355
9,"[True, False, False, True, True, False, True, False]",154,0.10508465766906738,1752098401.3962202
10,"[True, False, False, False, True, False, True, False]",138,0.04533839225769043,1752098401.4415586
11,"[True, False, True, False, True, False, True, False]",170,0.36623668670654297,1752098401.8077953
12,"[True, False, True, False, False, True, False, False]",164,0.0039865970611572266,1752098401.811782
13,"[False, False, True, False, False, True, False, False]",36,0.10648584365844727,1752098401.9182677
14,"[False, True, True, False, False, True, False, True]",101,0.5256130695343018,1752098402.4438808
15,"[False, True, False, False, False, True, False, True]",69,0.07431316375732422,1752098402.5191908
16,"[False, True, False, True, True, False, False, True]",89,0.3972172737121582,1752098402.9154112
17,"[False, False, False, True, True, False, False, True]",25,0.07022786140441895,1752098402.985639
18,"[False, False, False, False, True, False, False, True]",9,0.029485702514648438,1752098403.0151248
19,"[True, False, False, False, True, False, True, False]",138,0.22992253303527832,1752098403.2450473
20,"[True, False, False, True, True, False, True, False]",154,0.10406351089477539,1752098403.3491108
21,"[True, False, False, False, True, False, True, False]",138,0.04584789276123047,1752098403.3949587
22,"[True, False, True, False, False, False, False, False]",160,0.36630868911743164,1752098403.7612674
23,"[True, False, True, False, False, True, False, False]",164,0.0019941329956054688,1752098403.7632616
24,"[False, False, True, False, False, True, False, False]",36,0.1146092414855957,1752098403.8778708
25,"[False, True, True, False, False, True, False, True]",101,0.5219156742095947,1752098404.3997865
26,"[False, True, False, False, False, True, False, True]",69,0.07236671447753906,1752098404.4721532
27,"[False, True, False, True, True, False, False, True]",89,0.3989739418029785,1752098404.8711271
28,"[False, False, False, True, True, False, False, True]",25,0.07145977020263672,1752098404.942587
29,"[False, False, False, False, True, False, False, True]",9,0.02984476089477539,1752098404.9724317
30,"[True, False, False, False, True, False, True, False]",138,0.23080110549926758,1752098405.2032328
31,"[True, False, False, True, True, False, True, False]",154,0.10793709754943848,1752098405.3111699
32,"[True, False, False, False, True, False, True, False]",138,0.049217939376831055,1752098405.3603878
34,"[True, False, True, False, False, True, False, False]",164,0.0019936561584472656,1752098405.7278636
33,"[True, False, True, False, False, False, False, False]",160,0.3654820919036865,1752098405.72587
35,"[False, False, True, False, False, True, False, False]",36,0.10967469215393066,1752098405.8375382
