Passo,Step,Valor do Passo,Duracao (s),Timestamp
0,"[True, False, False, False, False]",16,7.985539436340332,1747873556.8246138
1,"[False, False, False, False, False]",0,1.9634716510772705,1747873558.7883105
2,"[False, False, True, False, False]",4,2.0557456016540527,1747873560.8430567
3,"[False, False, False, False, False]",0,0.020999908447265625,1747873560.8650565
4,"[False, False, True, False, False]",4,0.07246065139770508,1747873560.9365172
5,"[False, True, True, False, False]",12,0.06572794914245605,1747873561.0082588
6,"[False, False, True, False, False]",4,0.6967062950134277,1747873561.6999454
7,"[False, False, False, False, False]",0,0.09788107872009277,1747873561.7978323
8,"[False, False, True, False, False]",4,0.5815761089324951,1747873562.3795462
9,"[False, False, False, False, False]",0,0.15205788612365723,1747873562.5314639
10,"[False, False, False, False, True]",1,2.056126356124878,1747873564.586593
11,"[False, False, False, False, False]",0,0.1975247859954834,1747873564.7841177
12,"[True, False, False, False, False]",16,14.631163597106934,1747873579.416223
13,"[False, False, False, False, False]",0,1.9697692394256592,1747873581.3855627
14,"[False, False, True, False, False]",4,2.056013345718384,1747873583.4420533
15,"[False, False, False, False, False]",0,0.09514927864074707,1747873583.5387716
16,"[False, False, True, False, False]",4,0.008565187454223633,1747873583.5457766
17,"[False, True, True, False, False]",12,0.05701088905334473,1747873583.6027753
18,"[False, False, True, False, False]",4,0.6288106441497803,1747873584.2315946
19,"[False, False, False, False, False]",0,0.058278799057006836,1747873584.2898774
20,"[False, False, True, False, False]",4,0.6370506286621094,1747873584.926926
21,"[False, False, False, False, False]",0,0.14197182655334473,1747873585.0689206
22,"[False, False, True, False, False]",4,0.06603169441223145,1747873585.1349337
23,"[False, False, False, False, False]",0,0.016559362411499023,1747873585.1514883
24,"[False, False, False, False, True]",1,1.9562971591949463,1747873587.1077952
25,"[False, False, False, False, False]",0,0.23366904258728027,1747873587.3414583
26,"[True, False, False, False, False]",16,11.305896520614624,1747873598.6473787
27,"[False, False, False, False, False]",0,1.9590675830841064,1747873600.6064126
28,"[False, False, True, False, False]",4,2.0683791637420654,1747873602.674819
29,"[False, False, False, False, False]",0,0.010004997253417969,1747873602.6848001
30,"[False, False, True, False, False]",4,0.07851815223693848,1747873602.7633266
31,"[False, True, True, False, False]",12,0.03155827522277832,1747873602.7958882
32,"[False, False, True, False, False]",4,0.6748874187469482,1747873603.4687705
33,"[False, False, False, False, False]",0,0.05206894874572754,1747873603.5208395
34,"[False, False, True, False, False]",4,0.6406295299530029,1747873604.1634696
35,"[False, False, False, False, False]",0,0.13799524307250977,1747873604.3000512
36,"[False, False, True, False, False]",4,0.05993318557739258,1747873604.3593974
37,"[False, False, False, False, False]",0,0.028524398803710938,1747873604.3879218
38,"[False, False, False, False, True]",1,1.967203140258789,1747873606.3559973
39,"[False, False, False, False, False]",0,0.20726680755615234,1747873606.5623918
40,"[True, False, False, False, False]",16,11.068066120147705,1747873617.6314607
41,"[False, False, False, False, False]",0,1.936284065246582,1747873619.5676906
42,"[False, False, True, False, False]",4,2.031878709793091,1747873621.5996568
43,"[False, False, False, False, False]",0,0.019042491912841797,1747873621.6186514
44,"[False, False, True, False, False]",4,0.08098125457763672,1747873621.6998897
45,"[False, True, True, False, False]",12,0.04123854637145996,1747873621.740881
46,"[False, False, True, False, False]",4,0.636237621307373,1747873622.3771172
47,"[False, False, False, False, False]",0,0.057604312896728516,1747873622.434715
48,"[False, False, True, False, False]",4,0.6138906478881836,1747873623.0476155
49,"[False, False, False, False, False]",0,0.15123987197875977,1747873623.2003882
50,"[False, False, True, False, False]",4,0.08355593681335449,1747873623.2834163
51,"[False, False, False, False, False]",0,0.012048482894897461,1747873623.2954466
52,"[False, False, False, False, True]",1,1.9469749927520752,1747873625.2424078
53,"[False, False, False, False, False]",0,0.20378470420837402,1747873625.4462078
54,"[False, False, False, False, False]",0,120.00275611877441,1747873745.4479756
