IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo0: [False, False, False, False, True] | Valor do passo: 1 | Duracao (s): 1.943 | timestamp: 1747874698.7043083
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo1: [False, False, False, False, False] | Valor do passo: 0 | Duracao (s): 0.346 | timestamp: 1747874699.050694
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo2: [False, False, False, False, True] | Valor do passo: 1 | Duracao (s): 1.850 | timestamp: 1747874700.8996985
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo3: [False, False, False, False, False] | Valor do passo: 0 | Duracao (s): 0.283 | timestamp: 1747874701.1837196
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo4: [False, False, True, False, False] | Valor do passo: 4 | Duracao (s): 1.015 | timestamp: 1747874702.1993237
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo5: [False, False, False, False, False] | Valor do passo: 0 | Duracao (s): 0.026 | timestamp: 1747874702.2249305
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo6: [False, False, False, False, True] | Valor do passo: 1 | Duracao (s): 0.528 | timestamp: 1747874702.7515712
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo7: [False, False, False, False, False] | Valor do passo: 0 | Duracao (s): 0.294 | timestamp: 1747874703.046763
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo8: [False, False, False, False, True] | Valor do passo: 1 | Duracao (s): 1.642 | timestamp: 1747874704.6886303
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo9: [False, False, False, False, False] | Valor do passo: 0 | Duracao (s): 0.303 | timestamp: 1747874704.9916737
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo10: [False, False, True, False, False] | Valor do passo: 4 | Duracao (s): 0.566 | timestamp: 1747874705.5577838
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo11: [False, False, False, False, False] | Valor do passo: 0 | Duracao (s): 0.186 | timestamp: 1747874705.742321
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo12: [False, False, True, False, False] | Valor do passo: 4 | Duracao (s): 0.287 | timestamp: 1747874706.030957
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo13: [False, False, True, True, False] | Valor do passo: 6 | Duracao (s): 0.038 | timestamp: 1747874706.0669568
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo14: [False, False, True, False, False] | Valor do passo: 4 | Duracao (s): 0.075 | timestamp: 1747874706.1421022
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo15: [False, False, False, False, False] | Valor do passo: 0 | Duracao (s): 0.044 | timestamp: 1747874706.1861064
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo16: [False, False, False, False, True] | Valor do passo: 1 | Duracao (s): 0.709 | timestamp: 1747874706.8957357
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo17: [False, False, False, False, False] | Valor do passo: 0 | Duracao (s): 0.364 | timestamp: 1747874707.258848
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo18: [True, False, False, False, False] | Valor do passo: 16 | Duracao (s): 1.045 | timestamp: 1747874708.304356
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo19: [False, False, False, False, False] | Valor do passo: 0 | Duracao (s): 0.069 | timestamp: 1747874708.3728552
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo20: [True, False, False, False, False] | Valor do passo: 16 | Duracao (s): 0.210 | timestamp: 1747874708.5839016
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo21: [False, False, False, False, False] | Valor do passo: 0 | Duracao (s): 0.043 | timestamp: 1747874708.6265895
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo22: [False, False, False, False, True] | Valor do passo: 1 | Duracao (s): 1.349 | timestamp: 1747874709.9768348
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo23: [False, False, False, False, False] | Valor do passo: 0 | Duracao (s): 0.110 | timestamp: 1747874710.0869143
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo24: [True, False, False, False, False] | Valor do passo: 16 | Duracao (s): 0.848 | timestamp: 1747874710.9352167
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo25: [False, False, False, False, False] | Valor do passo: 0 | Duracao (s): 0.188 | timestamp: 1747874711.1223488
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo26: [False, False, True, False, False] | Valor do passo: 4 | Duracao (s): 1.718 | timestamp: 1747874712.8401408
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo27: [False, False, True, True, False] | Valor do passo: 6 | Duracao (s): 0.170 | timestamp: 1747874713.010038
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo28: [False, False, True, False, False] | Valor do passo: 4 | Duracao (s): 0.204 | timestamp: 1747874713.2139163
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo29: [False, False, False, False, False] | Valor do passo: 0 | Duracao (s): 0.139 | timestamp: 1747874713.3537438
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo30: [False, False, True, False, False] | Valor do passo: 4 | Duracao (s): 0.464 | timestamp: 1747874713.818263
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo31: [False, False, True, True, False] | Valor do passo: 6 | Duracao (s): 0.095 | timestamp: 1747874713.9134073
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo32: [False, False, True, False, False] | Valor do passo: 4 | Duracao (s): 0.141 | timestamp: 1747874714.0545895
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo33: [False, False, True, True, False] | Valor do passo: 6 | Duracao (s): 0.022 | timestamp: 1747874714.0762622
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo34: [False, False, True, False, False] | Valor do passo: 4 | Duracao (s): 0.215 | timestamp: 1747874714.2907023
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo35: [False, False, False, False, False] | Valor do passo: 0 | Duracao (s): 0.075 | timestamp: 1747874714.3652341
