Passo,Step,Valor do Passo,Duracao (s),Timestamp
0,"[False, True, True, False, False, True, False, True]",101,4.688826084136963,1752097021.6895766
1,"[False, True, False, False, False, True, False, True]",69,0.6267521381378174,1752097022.3163288
2,"[False, True, False, True, True, False, False, True]",89,6.288102626800537,1752097028.6054113
3,"[False, False, False, True, True, False, False, True]",25,0.1500413417816162,1752097028.7544727
4,"[True, False, False, True, True, False, True, False]",154,3.398296594619751,1752097032.1527693
5,"[True, False, False, False, True, False, True, False]",138,0.5276477336883545,1752097032.680417
6,"[True, False, True, False, True, False, True, False]",170,4.031589031219482,1752097036.712006
7,"[True, False, True, False, False, True, False, False]",164,0.0019960403442382812,1752097036.7140021
8,"[False, False, True, False, False, True, False, False]",36,0.5038368701934814,1752097037.217839
9,"[False, True, True, False, False, True, False, True]",101,6.3955817222595215,1752097043.6134207
10,"[False, True, False, False, False, True, False, True]",69,0.6273741722106934,1752097044.240795
11,"[False, True, False, True, True, False, False, True]",89,6.669480800628662,1752097050.9102757
12,"[False, False, False, True, True, False, False, True]",25,0.15325093269348145,1752097051.0635266
13,"[True, False, False, True, True, False, True, False]",154,3.4021148681640625,1752097054.4656415
14,"[True, False, False, False, True, False, True, False]",138,0.530174732208252,1752097054.9958162
15,"[True, False, True, False, True, False, True, False]",170,4.0381293296813965,1752097059.0339456
16,"[True, False, True, False, False, True, False, False]",164,0.002005338668823242,1752097059.035951
17,"[False, False, True, False, False, True, False, False]",36,0.5057754516601562,1752097059.5417264
18,"[False, True, True, False, False, True, False, True]",101,6.41307520866394,1752097065.9548016
19,"[False, True, False, False, False, True, False, True]",69,0.6281547546386719,1752097066.5829563
20,"[False, True, False, True, True, False, False, True]",89,6.289231061935425,1752097072.8721874
21,"[False, False, False, True, True, False, False, True]",25,0.15019845962524414,1752097073.0223858
22,"[True, False, False, True, True, False, True, False]",154,3.4047296047210693,1752097076.4271154
23,"[True, False, False, False, True, False, True, False]",138,0.5223689079284668,1752097076.9494843
24,"[True, False, True, False, False, False, False, False]",160,4.055523157119751,1752097081.0050075
25,"[True, False, True, False, False, True, False, False]",164,0.0019905567169189453,1752097081.006998
26,"[False, False, True, False, False, True, False, False]",36,0.5058200359344482,1752097081.512818
27,"[False, True, True, False, False, True, False, True]",101,6.422232151031494,1752097087.9350502
28,"[False, True, False, False, False, True, False, True]",69,0.632521390914917,1752097088.5675716
29,"[False, True, False, True, True, False, False, True]",89,6.710646629333496,1752097095.2782183
30,"[False, False, False, True, True, False, False, True]",25,0.14090418815612793,1752097095.4191225
31,"[True, False, False, True, True, False, True, False]",154,3.415372848510742,1752097098.8344953
32,"[True, False, False, False, True, False, True, False]",138,0.5337314605712891,1752097099.3682268
34,"[True, False, True, False, False, True, False, False]",164,0.0020461082458496094,1752097103.4120045
33,"[True, False, True, False, False, False, False, False]",160,4.041731595993042,1752097103.4099584
35,"[False, False, True, False, False, True, False, False]",36,0.5048155784606934,1752097103.91682
36,"[False, True, True, False, False, True, False, True]",101,6.412503004074097,1752097110.329323
37,"[False, True, False, False, False, True, False, True]",69,0.6320698261260986,1752097110.9613929
38,"[False, True, False, True, True, False, False, True]",89,6.393466234207153,1752097117.354859
39,"[False, False, False, True, True, False, False, True]",25,0.15833830833435059,1752097117.5131974
40,"[True, False, False, True, True, False, True, False]",154,3.4135324954986572,1752097120.92673
41,"[True, False, False, False, True, False, True, False]",138,0.5268518924713135,1752097121.4535818
42,"[True, False, True, False, False, True, False, False]",164,4.062433481216431,1752097125.5160153
43,"[False, False, True, False, False, True, False, False]",36,0.5012903213500977,1752097126.0173056
44,"[False, False, True, False, False, False, False, False]",32,1.5064630508422852,1752097127.5237687
45,"[False, True, True, False, False, False, False, False]",96,4.9259843826293945,1752097132.449753
46,"[False, True, True, False, False, False, False, False]",96,30.001294136047363,1752097162.4510472
