Passo,Step,Valor do Passo,Duracao (s),Timestamp
1,"[False, True, False, False]",4,0.0029320716857910156,1752541882.8735437
0,"[False, False, False, False]",0,1.0137982368469238,1752541882.8705792
2,"[False, True, False, True]",5,1.998401165008545,1752541884.8709493
3,"[True, False, False, True]",9,2.0019781589508057,1752541886.8729274
4,"[True, False, True, False]",10,1.9989593029022217,1752541888.8718867
5,"[False, True, False, False]",4,2.0012927055358887,1752541890.8731794
6,"[False, True, False, True]",5,2.0006320476531982,1752541892.8738115
7,"[True, False, False, True]",9,2.0003113746643066,1752541894.8741229
8,"[True, False, True, False]",10,2.0010428428649902,1752541896.8751657
9,"[False, True, False, False]",4,2.0014963150024414,1752541898.876662
10,"[False, True, False, True]",5,2.0001602172851562,1752541900.8768222
11,"[True, False, False, True]",9,2.000913381576538,1752541902.8777356
12,"[True, False, True, False]",10,1.9986228942871094,1752541904.8763585
13,"[False, False, False, False]",0,2.0015997886657715,1752541906.8779583
14,"[False, True, False, False]",4,0.002003192901611328,1752541906.8799615
15,"[False, True, False, True]",5,1.9988670349121094,1752541908.8788285
16,"[True, False, False, True]",9,2.001840114593506,1752541910.8806686
17,"[True, False, True, False]",10,1.9999194145202637,1752541912.880588
18,"[False, True, False, False]",4,2.001915454864502,1752541914.8825035
19,"[False, True, False, True]",5,2.0015621185302734,1752541916.8840656
20,"[True, False, False, True]",9,2.0002660751342773,1752541918.8843317
21,"[True, False, True, False]",10,1.9988043308258057,1752541920.883136
22,"[False, False, False, False]",0,2.0006093978881836,1752541922.8837454
23,"[False, True, False, False]",4,0.0020606517791748047,1752541922.885806
24,"[False, True, False, True]",5,1.9999680519104004,1752541924.8857741
25,"[True, False, False, True]",9,2.00148868560791,1752541926.8872628
26,"[True, False, True, False]",10,2.0003256797790527,1752541928.8875885
27,"[False, True, False, False]",4,2.0016112327575684,1752541930.8891997
28,"[False, True, False, True]",5,2.000755548477173,1752541932.8899553
29,"[True, False, False, True]",9,1.9994192123413086,1752541934.8893745
30,"[True, False, True, False]",10,1.9994652271270752,1752541936.8888397
32,"[False, True, False, False]",4,0.0025434494018554688,1752541938.8926065
31,"[False, False, False, False]",0,2.00122332572937,1752541938.890063
33,"[False, True, False, True]",5,2.005392074584961,1752541940.8979986
34,"[True, False, False, True]",9,1.9924068450927734,1752541942.8904054
35,"[True, False, True, False]",10,2.0020437240600586,1752541944.8924491
36,"[False, False, False, False]",0,1.9992315769195557,1752541946.8916807
37,"[False, True, False, False]",4,0.002006053924560547,1752541946.8936868
38,"[False, True, False, True]",5,1.9996590614318848,1752541948.8933458
39,"[True, False, False, True]",9,2.0004191398620605,1752541950.893765
40,"[True, False, True, False]",10,2.00091290473938,1752541952.8946779
