Passo,Step,Valor do Passo,Duracao (s),Timestamp
0,"[True, False, False, False, False, False, False, True]",129,9.201221704483032,1747875511.3672948
1,"[False, False, False, False, False, False, False, True]",1,1.9243052005767822,1747875513.2906046
2,"[False, False, True, False, False, False, False, True]",33,2.0122318267822266,1747875515.302826
3,"[False, False, False, False, False, False, False, True]",1,0.02298760414123535,1747875515.3258314
4,"[False, False, True, False, False, False, False, True]",33,0.07396960258483887,1747875515.4037993
5,"[False, True, True, False, False, False, False, True]",97,0.035996198654174805,1747875515.439794
6,"[False, False, True, False, False, False, False, True]",33,0.6971590518951416,1747875516.132948
7,"[False, False, False, False, False, False, False, True]",1,0.08536958694458008,1747875516.217319
8,"[False, False, True, False, False, False, False, True]",33,0.5805690288543701,1747875516.797888
9,"[False, False, False, False, False, False, False, True]",1,0.16615891456604004,1747875516.9650402
10,"[False, False, True, False, False, False, False, True]",33,0.04715561866760254,1747875517.0122042
11,"[False, False, False, False, False, False, False, True]",1,0.014998674392700195,1747875517.0272028
12,"[False, False, False, False, True, False, False, True]",9,1.9348268508911133,1747875518.9620302
13,"[False, False, False, False, False, False, False, True]",1,0.19635224342346191,1747875519.1583836

14,"[True, False, False, False, False, False, False, True]",129,7.763503789901733,1747875526.9218862
15,"[False, False, False, False, False, False, False, True]",1,1.9347703456878662,1747875528.8566585
16,"[False, False, True, False, False, False, False, True]",33,2.03377366065979,1747875530.8894281
17,"[False, False, False, False, False, False, False, True]",1,0.008868932723999023,1747875530.9594007
18,"[False, False, True, False, False, False, False, True]",33,0.06512236595153809,1747875530.9634194
19,"[False, True, True, False, False, False, False, True]",97,0.04548287391662598,1747875531.0089023
20,"[False, False, True, False, False, False, False, True]",33,0.6745846271514893,1747875531.6844854
21,"[False, False, False, False, False, False, False, True]",1,0.09745573997497559,1747875531.7809427
22,"[False, False, True, False, False, False, False, True]",33,0.5675499439239502,1747875532.3494816
23,"[False, False, False, False, False, False, False, True]",1,0.14357876777648926,1747875532.4920714
24,"[False, False, True, False, False, False, False, True]",33,0.06904959678649902,1747875532.561121
25,"[False, False, False, False, False, False, False, True]",1,0.018013477325439453,1747875532.5791345
26,"[False, False, False, False, True, False, False, True]",9,1.923823356628418,1747875534.5039654
27,"[False, False, False, False, False, False, False, True]",1,0.20415043830871582,1747875534.7071083


28,"[True, False, False, False, False, False, False, True]",129,10.298726320266724,1747875545.0058346
29,"[False, False, False, False, False, False, False, True]",1,1.918402910232544,1747875546.9252381
30,"[False, False, True, False, False, False, False, True]",33,2.0162158012390137,1747875548.9414513
31,"[False, False, False, False, False, False, False, True]",1,0.02200007438659668,1747875548.963471
32,"[False, False, True, False, False, False, False, True]",33,0.06851577758789062,1747875549.0319757
33,"[False, True, True, False, False, False, False, True]",97,0.03300762176513672,1747875549.065989
34,"[False, False, True, False, False, False, False, True]",33,0.6555078029632568,1747875549.7204895
35,"[False, False, False, False, False, False, False, True]",1,0.09229087829589844,1747875549.8128128
36,"[False, False, True, False, False, False, False, True]",33,0.5777163505554199,1747875550.3900418
