IOs: ['in1', 'in2', 'in3', 'in4', 'in5', 'out1', 'out2', 'out3']
Passo0: [True, False, False, False, False, False, False, True] | Valor do passo: 129 | Duracao (s): 9.201 | timestamp: 1747875511.3672948
IOs: ['in1', 'in2', 'in3', 'in4', 'in5', 'out1', 'out2', 'out3']
Passo1: [False, False, False, False, False, False, False, True] | Valor do passo: 1 | Duracao (s): 1.924 | timestamp: 1747875513.2906046
IOs: ['in1', 'in2', 'in3', 'in4', 'in5', 'out1', 'out2', 'out3']
Passo2: [False, False, True, False, False, False, False, True] | Valor do passo: 33 | Duracao (s): 2.012 | timestamp: 1747875515.302826
IOs: ['in1', 'in2', 'in3', 'in4', 'in5', 'out1', 'out2', 'out3']
Passo3: [False, False, False, False, False, False, False, True] | Valor do passo: 1 | Duracao (s): 0.023 | timestamp: 1747875515.3258314
IOs: ['in1', 'in2', 'in3', 'in4', 'in5', 'out1', 'out2', 'out3']
Passo4: [False, False, True, False, False, False, False, True] | Valor do passo: 33 | Duracao (s): 0.074 | timestamp: 1747875515.4037993
IOs: ['in1', 'in2', 'in3', 'in4', 'in5', 'out1', 'out2', 'out3']
Passo5: [False, True, True, False, False, False, False, True] | Valor do passo: 97 | Duracao (s): 0.036 | timestamp: 1747875515.439794
IOs: ['in1', 'in2', 'in3', 'in4', 'in5', 'out1', 'out2', 'out3']
Passo6: [False, False, True, False, False, False, False, True] | Valor do passo: 33 | Duracao (s): 0.697 | timestamp: 1747875516.132948
IOs: ['in1', 'in2', 'in3', 'in4', 'in5', 'out1', 'out2', 'out3']
Passo7: [False, False, False, False, False, False, False, True] | Valor do passo: 1 | Duracao (s): 0.085 | timestamp: 1747875516.217319
IOs: ['in1', 'in2', 'in3', 'in4', 'in5', 'out1', 'out2', 'out3']
Passo8: [False, False, True, False, False, False, False, True] | Valor do passo: 33 | Duracao (s): 0.581 | timestamp: 1747875516.797888
IOs: ['in1', 'in2', 'in3', 'in4', 'in5', 'out1', 'out2', 'out3']
Passo9: [False, False, False, False, False, False, False, True] | Valor do passo: 1 | Duracao (s): 0.166 | timestamp: 1747875516.9650402
IOs: ['in1', 'in2', 'in3', 'in4', 'in5', 'out1', 'out2', 'out3']
Passo10: [False, False, True, False, False, False, False, True] | Valor do passo: 33 | Duracao (s): 0.047 | timestamp: 1747875517.0122042
IOs: ['in1', 'in2', 'in3', 'in4', 'in5', 'out1', 'out2', 'out3']
Passo11: [False, False, False, False, False, False, False, True] | Valor do passo: 1 | Duracao (s): 0.015 | timestamp: 1747875517.0272028
IOs: ['in1', 'in2', 'in3', 'in4', 'in5', 'out1', 'out2', 'out3']
Passo12: [False, False, False, False, True, False, False, True] | Valor do passo: 9 | Duracao (s): 1.935 | timestamp: 1747875518.9620302
IOs: ['in1', 'in2', 'in3', 'in4', 'in5', 'out1', 'out2', 'out3']
Passo13: [False, False, False, False, False, False, False, True] | Valor do passo: 1 | Duracao (s): 0.196 | timestamp: 1747875519.1583836
IOs: ['in1', 'in2', 'in3', 'in4', 'in5', 'out1', 'out2', 'out3']
Passo14: [True, False, False, False, False, False, False, True] | Valor do passo: 129 | Duracao (s): 7.764 | timestamp: 1747875526.9218862
IOs: ['in1', 'in2', 'in3', 'in4', 'in5', 'out1', 'out2', 'out3']
Passo15: [False, False, False, False, False, False, False, True] | Valor do passo: 1 | Duracao (s): 1.935 | timestamp: 1747875528.8566585
