IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo0: [False, True, False, False, False, True, True, False] | Valor do passo: 70 | Duracao (s): 8.932 | timestamp: 1751931904.4540439
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo1: [False, False, False, False, False, True, True, False] | Valor do passo: 6 | Duracao (s): 1.977 | timestamp: 1751931906.4308627
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo2: [False, False, False, False, True, True, True, False] | Valor do passo: 14 | Duracao (s): 1.851 | timestamp: 1751931908.2817569
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo3: [False, False, False, False, False, True, True, False] | Valor do passo: 6 | Duracao (s): 0.042 | timestamp: 1751931908.323272
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo4: [False, False, False, True, False, True, True, False] | Valor do passo: 22 | Duracao (s): 0.068 | timestamp: 1751931908.391121
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo5: [False, False, False, False, False, True, True, False] | Valor do passo: 6 | Duracao (s): 0.040 | timestamp: 1751931908.4309955
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo6: [False, False, True, False, False, True, True, False] | Valor do passo: 38 | Duracao (s): 0.181 | timestamp: 1751931908.612421
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo7: [False, False, True, False, False, True, False, True] | Valor do passo: 37 | Duracao (s): 0.824 | timestamp: 1751931909.4359293
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo8: [False, False, True, False, False, False, False, True] | Valor do passo: 33 | Duracao (s): 0.221 | timestamp: 1751931909.65713
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo9: [False, False, True, False, False, False, True, False] | Valor do passo: 34 | Duracao (s): 1.548 | timestamp: 1751931911.2051346
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo10: [False, False, True, False, False, True, True, False] | Valor do passo: 38 | Duracao (s): 0.190 | timestamp: 1751931911.3955524
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo11: [False, False, False, False, False, True, True, False] | Valor do passo: 6 | Duracao (s): 0.886 | timestamp: 1751931912.281518
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo12: [True, False, False, False, False, True, True, False] | Valor do passo: 134 | Duracao (s): 2.829 | timestamp: 1751931915.110416
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo13: [False, False, False, False, False, True, True, False] | Valor do passo: 6 | Duracao (s): 0.251 | timestamp: 1751931915.3610075
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo14: [False, True, False, False, False, True, True, False] | Valor do passo: 70 | Duracao (s): 2.632 | timestamp: 1751931917.9931855
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo15: [False, False, False, False, False, True, True, False] | Valor do passo: 6 | Duracao (s): 1.941 | timestamp: 1751931919.934302
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo16: [False, False, False, False, True, True, True, False] | Valor do passo: 14 | Duracao (s): 1.847 | timestamp: 1751931921.7811682
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo17: [False, False, False, False, False, True, True, False] | Valor do passo: 6 | Duracao (s): 0.042 | timestamp: 1751931921.8230276
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo18: [False, False, False, True, False, True, True, False] | Valor do passo: 22 | Duracao (s): 0.068 | timestamp: 1751931921.8913176
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo19: [False, False, False, False, False, True, True, False] | Valor do passo: 6 | Duracao (s): 0.052 | timestamp: 1751931921.9431446
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo20: [False, False, True, False, False, True, True, False] | Valor do passo: 38 | Duracao (s): 0.184 | timestamp: 1751931922.1275866
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo21: [False, False, True, False, False, True, False, True] | Valor do passo: 37 | Duracao (s): 0.765 | timestamp: 1751931922.8930824
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo22: [False, False, True, False, False, False, False, True] | Valor do passo: 33 | Duracao (s): 0.221 | timestamp: 1751931923.1137376
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo23: [False, False, True, False, False, False, True, False] | Valor do passo: 34 | Duracao (s): 1.349 | timestamp: 1751931924.4631279
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo24: [False, False, True, False, False, True, True, False] | Valor do passo: 38 | Duracao (s): 0.192 | timestamp: 1751931924.654833
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo25: [False, False, False, False, False, True, True, False] | Valor do passo: 6 | Duracao (s): 0.878 | timestamp: 1751931925.5324032
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo26: [False, True, False, False, False, True, True, False] | Valor do passo: 70 | Duracao (s): 2.379 | timestamp: 1751931927.9112835
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo27: [True, True, False, False, False, True, True, False] | Valor do passo: 198 | Duracao (s): 0.457 | timestamp: 1751931928.3678548
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo28: [False, True, False, False, False, True, True, False] | Valor do passo: 70 | Duracao (s): 0.219 | timestamp: 1751931928.5868762
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo29: [False, False, False, False, False, True, True, False] | Valor do passo: 6 | Duracao (s): 1.234 | timestamp: 1751931929.8205612
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo30: [False, False, False, False, True, True, True, False] | Valor do passo: 14 | Duracao (s): 1.842 | timestamp: 1751931931.6624699
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo31: [False, False, False, False, False, True, True, False] | Valor do passo: 6 | Duracao (s): 0.053 | timestamp: 1751931931.715872
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo32: [False, False, False, True, False, True, True, False] | Valor do passo: 22 | Duracao (s): 0.070 | timestamp: 1751931931.7861435
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo33: [False, False, False, False, False, True, True, False] | Valor do passo: 6 | Duracao (s): 0.027 | timestamp: 1751931931.8135583
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo34: [False, False, True, False, False, True, True, False] | Valor do passo: 38 | Duracao (s): 0.186 | timestamp: 1751931931.9996881
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo35: [False, False, True, False, False, True, False, True] | Valor do passo: 37 | Duracao (s): 0.804 | timestamp: 1751931932.8038366
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo36: [False, False, True, False, False, False, False, True] | Valor do passo: 33 | Duracao (s): 0.218 | timestamp: 1751931933.0221531
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo37: [False, False, True, False, False, False, True, False] | Valor do passo: 34 | Duracao (s): 1.284 | timestamp: 1751931934.3066118
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo38: [False, False, True, False, False, True, True, False] | Valor do passo: 38 | Duracao (s): 0.195 | timestamp: 1751931934.502023
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo39: [False, False, False, False, False, True, True, False] | Valor do passo: 6 | Duracao (s): 0.859 | timestamp: 1751931935.3607721
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo40: [True, False, False, False, False, True, True, False] | Valor do passo: 134 | Duracao (s): 2.813 | timestamp: 1751931938.173857
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo41: [False, False, False, False, False, True, True, False] | Valor do passo: 6 | Duracao (s): 0.203 | timestamp: 1751931938.3770497
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo42: [False, True, False, False, False, True, True, False] | Valor do passo: 70 | Duracao (s): 4.752 | timestamp: 1751931943.1285582
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo43: [False, False, False, False, False, True, True, False] | Valor do passo: 6 | Duracao (s): 1.930 | timestamp: 1751931945.0590174
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo44: [False, False, False, False, True, True, True, False] | Valor do passo: 14 | Duracao (s): 1.821 | timestamp: 1751931946.8798058
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo45: [False, False, False, False, False, True, True, False] | Valor do passo: 6 | Duracao (s): 0.056 | timestamp: 1751931946.9356918
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo46: [False, False, False, True, False, True, True, False] | Valor do passo: 22 | Duracao (s): 0.056 | timestamp: 1751931946.99151
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo47: [False, False, False, False, False, True, True, False] | Valor do passo: 6 | Duracao (s): 0.055 | timestamp: 1751931947.046852
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo48: [False, False, True, False, False, True, True, False] | Valor do passo: 38 | Duracao (s): 0.168 | timestamp: 1751931947.214523
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo49: [False, False, True, False, False, True, False, True] | Valor do passo: 37 | Duracao (s): 0.787 | timestamp: 1751931948.001475
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo50: [False, False, True, False, False, False, False, True] | Valor do passo: 33 | Duracao (s): 0.214 | timestamp: 1751931948.2153647
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo51: [False, False, True, False, False, False, True, False] | Valor do passo: 34 | Duracao (s): 1.312 | timestamp: 1751931949.5275893
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
Passo52: [False, False, True, False, False, True, True, False] | Valor do passo: 38 | Duracao (s): 0.192 | timestamp: 1751931949.719441
IOs: ['xBG6', 'xBG5', 'xBG1_BCD0', 'xBG3_BCD2', 'xBG4_BCD3', 'xCL_BG5', 'xCL_MB3', 'xCL_MB4']
