Passo,Step,Valor do Passo,Duracao (s),Timestamp
0,"[False, True, False, True]",5,0.2084519863128662,1752541111.957113
1,"[False, False, False, True]",1,0.07063460350036621,1752541112.0267508
2,"[True, False, False, True]",9,0.22629785537719727,1752541112.2530487
3,"[True, False, False, False]",8,0.09524178504943848,1752541112.3482904
4,"[True, False, True, False]",10,0.2808377742767334,1752541112.6291282
5,"[False, False, True, False]",2,0.11314845085144043,1752541112.7422767
6,"[False, True, True, False]",6,0.3767435550689697,1752541113.1190202
7,"[False, True, False, False]",4,0.0693509578704834,1752541113.1883712
8,"[False, True, False, True]",5,0.355884313583374,1752541113.5442555
9,"[False, False, False, True]",1,0.0695657730102539,1752541113.6138213
10,"[True, False, False, True]",9,0.22634267807006836,1752541113.840164
11,"[True, False, False, False]",8,0.0955657958984375,1752541113.9357297
12,"[True, False, True, False]",10,0.2816457748413086,1752541114.2173755
13,"[False, False, True, False]",2,0.11215376853942871,1752541114.3295293
14,"[False, True, True, False]",6,0.3784005641937256,1752541114.7079298
15,"[False, True, False, False]",4,0.06885576248168945,1752541114.7767856
16,"[False, True, False, True]",5,0.35608482360839844,1752541115.1328704
17,"[False, False, False, True]",1,0.07030773162841797,1752541115.2031782
18,"[True, False, False, True]",9,0.2263033390045166,1752541115.4294815
19,"[True, False, False, False]",8,0.09615349769592285,1752541115.525635
20,"[True, False, True, False]",10,0.2807140350341797,1752541115.806349
21,"[False, False, True, False]",2,0.1121513843536377,1752541115.9185004
22,"[False, True, True, False]",6,0.37789273262023926,1752541116.2963932
23,"[False, True, False, False]",4,0.06828618049621582,1752541116.3646793
24,"[False, True, False, True]",5,0.35492753982543945,1752541116.7196069
25,"[False, False, False, True]",1,0.06924748420715332,1752541116.7888544
26,"[True, False, False, True]",9,0.2278001308441162,1752541117.0166545
27,"[True, False, False, False]",8,0.09486746788024902,1752541117.111522
28,"[True, False, True, False]",10,0.2811264991760254,1752541117.3926485
29,"[False, False, True, False]",2,0.11246848106384277,1752541117.505117
30,"[False, True, True, False]",6,0.37760257720947266,1752541117.8827195
31,"[False, True, False, False]",4,0.06885576248168945,1752541117.9515753
32,"[False, True, False, True]",5,0.35492992401123047,1752541118.3065052
33,"[False, False, False, True]",1,0.07176041603088379,1752541118.3782656
34,"[True, False, False, True]",9,0.2268073558807373,1752541118.605073
35,"[True, False, False, False]",8,0.09466958045959473,1752541118.6997426
36,"[True, False, True, False]",10,0.2801334857940674,1752541118.979876
37,"[False, False, True, False]",2,0.1112203598022461,1752541119.0910964
38,"[False, True, True, False]",6,0.37896180152893066,1752541119.4700582
39,"[False, True, False, False]",4,0.06650972366333008,1752541119.536568
40,"[False, True, False, True]",5,0.35622572898864746,1752541119.8927937
41,"[False, False, False, True]",1,0.07128477096557617,1752541119.9640784
42,"[True, False, False, True]",9,0.2263035774230957,1752541120.190382
43,"[True, False, False, False]",8,0.09520792961120605,1752541120.28559
44,"[True, False, True, False]",10,0.28229856491088867,1752541120.5678885
45,"[False, False, True, False]",2,0.1121070384979248,1752541120.6799955
46,"[False, True, True, False]",6,0.37636876106262207,1752541121.0563643
47,"[False, True, False, False]",4,0.06893706321716309,1752541121.1253014
48,"[False, True, False, True]",5,0.3558945655822754,1752541121.481196
49,"[False, False, False, True]",1,0.07036876678466797,1752541121.5515647
50,"[True, False, False, True]",9,0.2267777919769287,1752541121.7783425
51,"[True, False, False, False]",8,0.09655189514160156,1752541121.8748944
52,"[True, False, True, False]",10,0.2815728187561035,1752541122.1564672
53,"[False, False, True, False]",2,0.11016082763671875,1752541122.266628
54,"[False, True, True, False]",6,0.37894153594970703,1752541122.6455696
55,"[False, True, False, False]",4,0.06764340400695801,1752541122.713213
56,"[False, True, False, True]",5,0.355396032333374,1752541123.068609
57,"[False, False, False, True]",1,0.06921648979187012,1752541123.1378255
58,"[True, False, False, True]",9,0.22702932357788086,1752541123.3648548
59,"[True, False, False, False]",8,0.09521150588989258,1752541123.4600663
60,"[True, False, True, False]",10,0.28165221214294434,1752541123.7417185
61,"[False, False, True, False]",2,0.11118960380554199,1752541123.8529081
62,"[False, True, True, False]",6,0.3772737979888916,1752541124.230182
63,"[False, True, False, False]",4,0.06977581977844238,1752541124.2999578
64,"[False, True, False, True]",5,0.3532593250274658,1752541124.653217
65,"[False, False, False, True]",1,0.07223629951477051,1752541124.7254534
66,"[True, False, False, True]",9,0.2247936725616455,1752541124.950247
67,"[True, False, False, False]",8,0.09564375877380371,1752541125.0458908
68,"[True, False, True, False]",10,0.28257250785827637,1752541125.3284633
69,"[False, False, True, False]",2,0.1121523380279541,1752541125.4406157
