Passo,Step,Valor do Passo,Duracao (s),Timestamp
0,"[False, True, False, False]",4,9.842507600784302,1753313504.7997818
1,"[False, True, False, True]",5,2.000384569168091,1753313506.8001664
2,"[True, False, False, True]",9,1.999326467514038,1753313508.7994928
3,"[True, False, True, False]",10,4.999382972717285,1753313513.7988758
4,"[False, True, False, False]",4,2.0035994052886963,1753313515.8024752
5,"[False, True, False, True]",5,1.9988210201263428,1753313517.8012962
6,"[True, False, False, True]",9,2.000462532043457,1753313519.8017588
7,"[True, False, True, False]",10,5.000839710235596,1753313524.8025985
8,"[False, True, False, False]",4,2.013319253921509,1753313526.8159177
9,"[False, True, False, True]",5,1.987497091293335,1753313528.8034148
10,"[True, False, False, True]",9,2.0012176036834717,1753313530.8046324
11,"[True, False, True, False]",10,5.0006513595581055,1753313535.8052838
12,"[False, False, False, False]",0,1.9989149570465088,1753313537.8041987
13,"[False, True, False, False]",4,0.0020041465759277344,1753313537.806203
14,"[False, True, False, True]",5,2.001460552215576,1753313539.8076634
15,"[True, False, False, True]",9,1.9992456436157227,1753313541.806909
16,"[True, False, True, False]",10,5.0010085105896,1753313546.8079176
17,"[False, False, False, False]",0,2.001469373703003,1753313548.809387
18,"[False, True, False, False]",4,0.0020041465759277344,1753313548.811391
19,"[False, True, False, True]",5,2.0008296966552734,1753313550.8122208
20,"[True, False, False, True]",9,1.999478816986084,1753313552.8116996
21,"[True, False, True, False]",10,5.0007164478302,1753313557.812416
22,"[False, True, False, False]",4,2.001293182373047,1753313559.8137093
23,"[False, True, False, True]",5,2.000559091567993,1753313561.8142684
24,"[True, False, False, True]",9,1.9996471405029297,1753313563.8139155
25,"[True, False, True, False]",10,5.001379489898682,1753313568.815295
26,"[False, False, False, False]",0,2.001398801803589,1753313570.8166938
27,"[False, True, False, False]",4,0.0019998550415039062,1753313570.8186936
28,"[False, True, False, True]",5,1.9987213611602783,1753313572.817415
29,"[True, False, False, True]",9,2.0007870197296143,1753313574.818202
30,"[True, False, True, False]",10,5.000161647796631,1753313579.8183637
32,"[False, True, False, False]",4,0.002003908157348633,1753313581.8206487
31,"[False, False, False, False]",0,2.0002810955047607,1753313581.8186448
33,"[False, True, False, True]",5,2.000291585922241,1753313583.8209403
34,"[True, False, False, True]",9,2.0004115104675293,1753313585.8213518
35,"[True, False, True, False]",10,4.999955654144287,1753313590.8213074
36,"[False, False, False, False]",0,2.000136137008667,1753313592.8214436
37,"[False, True, False, False]",4,0.0020041465759277344,1753313592.8234477
38,"[False, True, False, True]",5,1.9984185695648193,1753313594.8218663
39,"[True, False, False, True]",9,2.001478672027588,1753313596.823345
40,"[True, False, True, False]",10,4.999853610992432,1753313601.8231986
41,"[False, False, False, False]",0,1.999776840209961,1753313603.8229754
42,"[False, True, False, False]",4,0.0019960403442382812,1753313603.8249714
43,"[False, True, False, True]",5,2.001852035522461,1753313605.8268235
44,"[True, False, False, True]",9,2.0013272762298584,1753313607.8281507
45,"[True, False, True, False]",10,4.997256755828857,1753313612.8254075
46,"[False, True, False, False]",4,2.0012264251708984,1753313614.826634
47,"[False, True, False, True]",5,2.0008127689361572,1753313616.8274467
48,"[True, False, False, True]",9,2.00009822845459,1753313618.827545
