Passo,Step,Valor do Passo,Duracao (s),Timestamp
0,"[False, True, False, False, False, True, False, True]",69,11.716840505599976,1752094822.656088
1,"[False, True, True, False, False, True, False, True]",101,0.19814586639404297,1752094822.8532329
2,"[False, True, False, False, False, True, False, True]",69,0.4482860565185547,1752094823.301519
3,"[False, True, False, True, True, False, False, True]",89,4.49825382232666,1752094827.800771
4,"[False, False, False, True, True, False, False, True]",25,0.2102804183959961,1752094828.0100532
5,"[True, False, False, True, True, False, True, False]",154,2.722318410873413,1752094830.7323716
6,"[True, False, False, False, True, False, True, False]",138,0.3659234046936035,1752094831.098295
7,"[True, False, True, False, True, False, True, False]",170,3.1926255226135254,1752094834.2909205
8,"[True, False, True, False, False, True, False, False]",164,0.0019927024841308594,1752094834.2929132
9,"[False, False, True, False, False, True, False, False]",36,0.42081642150878906,1752094834.7137296
10,"[False, False, False, False, False, True, False, False]",4,0.03232741355895996,1752094834.746057
11,"[False, True, False, False, False, True, False, True]",69,5.349649906158447,1752094840.095707
12,"[False, True, True, False, False, True, False, True]",101,0.1784651279449463,1752094840.274172
13,"[False, True, False, False, False, True, False, True]",69,0.4950265884399414,1752094840.7691987
14,"[False, True, False, True, True, False, False, True]",89,4.635332345962524,1752094845.404531
15,"[False, False, False, True, True, False, False, True]",25,0.13802123069763184,1752094845.5425522
16,"[True, False, False, True, True, False, True, False]",154,2.844174861907959,1752094848.386727
17,"[True, False, False, False, True, False, True, False]",138,0.3802475929260254,1752094848.7669747
18,"[True, False, True, False, False, False, False, False]",160,3.255722761154175,1752094852.0226974
19,"[True, False, True, False, False, True, False, False]",164,0.005333900451660156,1752094852.0290074
20,"[False, False, True, False, False, True, False, False]",36,0.4384925365447998,1752094852.466524
21,"[False, False, False, False, False, True, False, False]",4,0.015781164169311523,1752094852.4828107
22,"[False, True, False, False, False, True, False, True]",69,5.589376449584961,1752094858.07267
23,"[False, True, True, False, False, True, False, True]",101,0.18501901626586914,1752094858.2567005
24,"[False, True, False, False, False, True, False, True]",69,0.5113160610198975,1752094858.7680166
25,"[False, True, False, True, True, False, False, True]",89,4.757230043411255,1752094863.5252466
26,"[False, False, False, True, True, False, False, True]",25,0.13825511932373047,1752094863.6635017
