Passo,Step,Valor do Passo,Duracao (s),Timestamp
0,"[True, False, True, False, True, False, True, False]",170,0.8002655506134033,1752538740.3264108
1,"[True, False, True, False, False, True, False, False]",164,0.0029358863830566406,1752538740.3293467
2,"[False, False, True, False, False, True, False, False]",36,0.7646396160125732,1752538741.0939863
3,"[False, True, True, False, False, True, False, True]",101,7.912524938583374,1752538749.0065112
4,"[False, True, False, False, False, True, False, True]",69,0.13049030303955078,1752538749.1370015
5,"[False, True, False, True, True, False, False, True]",89,0.9450163841247559,1752538750.082018
6,"[False, False, False, True, True, False, False, True]",25,0.14052748680114746,1752538750.2225454
7,"[True, False, False, True, True, False, True, False]",154,4.792942047119141,1752538755.0154874
8,"[True, False, False, False, True, False, True, False]",138,0.19640254974365234,1752538755.21189
9,"[True, False, True, False, True, False, True, False]",170,1.719099760055542,1752538756.9309897
10,"[True, False, True, False, False, True, False, False]",164,0.001994609832763672,1752538756.9329844
11,"[False, False, True, False, False, True, False, False]",36,0.7640759944915771,1752538757.6970603
12,"[False, True, True, False, False, True, False, True]",101,7.958636283874512,1752538765.6556966
13,"[False, True, False, False, False, True, False, True]",69,0.13026165962219238,1752538765.7859583
14,"[False, True, False, True, True, False, False, True]",89,0.9643316268920898,1752538766.75029
15,"[False, False, False, True, True, False, False, True]",25,0.12967348098754883,1752538766.8799634
16,"[True, False, False, True, True, False, True, False]",154,4.8043811321258545,1752538771.6843445
17,"[True, False, False, False, True, False, True, False]",138,0.19629883766174316,1752538771.8806434
18,"[True, False, True, False, True, False, True, False]",170,1.7233655452728271,1752538773.604009
19,"[True, False, True, False, False, True, False, False]",164,0.0019898414611816406,1752538773.6059988
20,"[False, False, True, False, False, True, False, False]",36,0.7633860111236572,1752538774.3693848
21,"[False, True, True, False, False, True, False, True]",101,7.989626169204712,1752538782.359011
22,"[False, True, False, False, False, True, False, True]",69,0.12916898727416992,1752538782.48818
23,"[False, True, False, True, True, False, False, True]",89,0.9588980674743652,1752538783.447078
24,"[False, False, False, True, True, False, False, True]",25,0.13859200477600098,1752538783.58567
25,"[True, False, False, True, True, False, True, False]",154,4.821123123168945,1752538788.406793
26,"[True, False, False, False, True, False, True, False]",138,0.19836211204528809,1752538788.6051552
27,"[True, False, True, False, True, False, True, False]",170,1.7243523597717285,1752538790.3295076
28,"[True, False, True, False, False, True, False, False]",164,0.001993417739868164,1752538790.331501
29,"[False, False, True, False, False, True, False, False]",36,0.7678766250610352,1752538791.0993776
30,"[False, True, True, False, False, True, False, True]",101,8.025505542755127,1752538799.1248832
31,"[False, True, False, False, False, True, False, True]",69,0.1301417350769043,1752538799.255025
32,"[False, True, False, True, True, False, False, True]",89,0.9586162567138672,1752538800.2136412
33,"[False, False, False, True, True, False, False, True]",25,0.13729143142700195,1752538800.3509326
34,"[True, False, False, True, True, False, True, False]",154,4.826161861419678,1752538805.1770945
35,"[True, False, False, False, True, False, True, False]",138,0.19792914390563965,1752538805.3750236
36,"[True, False, True, False, False, False, False, False]",160,1.7249467372894287,1752538807.0999703
37,"[True, False, True, False, False, True, False, False]",164,0.001993417739868164,1752538807.1019638
38,"[False, False, True, False, False, True, False, False]",36,0.7753925323486328,1752538807.8773563
39,"[False, True, True, False, False, True, False, True]",101,7.985939979553223,1752538815.8632963
40,"[False, True, False, False, False, True, False, True]",69,0.1293797492980957,1752538815.992676
41,"[False, True, False, True, True, False, False, True]",89,0.96047043800354,1752538816.9531465
42,"[False, False, False, True, True, False, False, True]",25,0.138505220413208,1752538817.0916517
43,"[True, False, False, True, True, False, True, False]",154,4.843814849853516,1752538821.9354665
44,"[True, False, False, False, True, False, True, False]",138,0.19817256927490234,1752538822.133639
45,"[True, False, True, False, False, False, False, False]",160,1.7285854816436768,1752538823.8622246
46,"[True, False, True, False, False, True, False, False]",164,0.0019898414611816406,1752538823.8642144
47,"[False, False, True, False, False, True, False, False]",36,0.7729241847991943,1752538824.6371386
48,"[False, True, True, False, False, True, False, True]",101,8.057550430297852,1752538832.694689
49,"[False, True, False, False, False, True, False, True]",69,0.13136863708496094,1752538832.8260577
50,"[False, True, False, True, True, False, False, True]",89,0.9472832679748535,1752538833.773341
51,"[False, False, False, True, True, False, False, True]",25,0.13975238800048828,1752538833.9130933
