Passo,Step,Valor do Passo,Duracao (s),Timestamp
0,"[True, False, True, False]",10,1.8662593364715576,1753311813.3969457
1,"[False, True, False, False]",4,2.0011563301086426,1753311815.3971016
2,"[False, True, False, True]",5,1.999917984008789,1753311817.3970196
3,"[True, False, False, True]",9,2.000741720199585,1753311819.3977613
4,"[True, False, True, False]",10,1.9999732971191406,1753311821.3977346
5,"[False, False, False, False]",0,1.9996912479400635,1753311823.397426
6,"[False, True, False, False]",4,0.002001523971557617,1753311823.3994274
7,"[False, True, False, True]",5,2.000908613204956,1753311825.400336
8,"[True, False, False, True]",9,2.0036535263061523,1753311827.4039896
9,"[True, False, True, False]",10,1.998464822769165,1753311829.4024544
10,"[False, False, False, False]",0,1.9999165534973145,1753311831.402371
11,"[False, True, False, False]",4,0.0019948482513427734,1753311831.4043658
12,"[False, True, False, True]",5,1.9999046325683594,1753311833.4042704
13,"[True, False, False, True]",9,2.000169038772583,1753311835.4044394
14,"[True, False, True, False]",10,2.0002312660217285,1753311837.4046707
15,"[False, False, False, False]",0,2.0001444816589355,1753311839.4048152
16,"[False, True, False, False]",4,0.0019958019256591797,1753311839.406811
17,"[False, True, False, True]",5,2.0000529289245605,1753311841.406864
18,"[True, False, False, True]",9,1.9994940757751465,1753311843.406358
19,"[True, False, True, False]",10,2.001580238342285,1753311845.4079382
20,"[False, False, False, False]",0,2.000227212905884,1753311847.4081655
21,"[False, True, False, False]",4,0.002004384994506836,1753311847.4101698
22,"[False, True, False, True]",5,2.0020971298217773,1753311849.412267
23,"[True, False, False, True]",9,1.9986071586608887,1753311851.4108741
24,"[True, False, True, False]",10,2.0001657009124756,1753311853.4110398
25,"[False, True, False, False]",4,2.003035545349121,1753311855.4140754
26,"[False, True, False, True]",5,2.0005831718444824,1753311857.4146585
27,"[True, False, False, True]",9,2.0004029273986816,1753311859.4150615
28,"[True, False, True, False]",10,1.9991309642791748,1753311861.4141924
29,"[False, False, False, False]",0,2.0009384155273438,1753311863.4151309
30,"[False, True, False, False]",4,0.0019960403442382812,1753311863.417127
31,"[False, True, False, True]",5,2.000243902206421,1753311865.4173708
32,"[True, False, False, True]",9,2.0004630088806152,1753311867.4178338
33,"[True, False, True, False]",10,1.9994237422943115,1753311869.4172575
34,"[False, False, False, False]",0,2.000866651535034,1753311871.4181242
35,"[False, True, False, False]",4,0.0019965171813964844,1753311871.4201207
36,"[False, True, False, True]",5,1.999690055847168,1753311873.4198108
37,"[True, False, False, True]",9,2.0011489391326904,1753311875.4209597
38,"[True, False, True, False]",10,1.9996418952941895,1753311877.4206016
40,"[False, True, False, False]",4,0.0019998550415039062,1753311879.4234798
39,"[False, False, False, False]",0,2.00087833404541,1753311879.42148
41,"[False, True, False, True]",5,2.001940965652466,1753311881.4254208
42,"[True, False, False, True]",9,1.9978268146514893,1753311883.4232476
43,"[True, False, True, False]",10,2.0001883506774902,1753311885.423436
44,"[False, False, False, False]",0,2.001039743423462,1753311887.4244757
45,"[False, True, False, False]",4,0.0019960403442382812,1753311887.4264717
46,"[False, True, False, True]",5,2.0001535415649414,1753311889.4266253
47,"[True, False, False, True]",9,1.998314380645752,1753311891.4249396
48,"[True, False, True, False]",10,2.0008323192596436,1753311893.425772
50,"[False, True, False, False]",4,0.0019998550415039062,1753311895.4285474
49,"[False, False, False, False]",0,2.0007755756378174,1753311895.4265475
51,"[False, True, False, True]",5,1.9996094703674316,1753311897.4281569
52,"[True, False, False, True]",9,1.9998705387115479,1753311899.4280274
53,"[True, False, True, False]",10,1.9998779296875,1753311901.4279053
54,"[False, False, False, False]",0,2.0002644062042236,1753311903.4281697
55,"[False, True, False, False]",4,0.002001047134399414,1753311903.4301708
56,"[False, True, False, True]",5,2.000969409942627,1753311905.4311402
57,"[True, False, False, True]",9,2.0000576972961426,1753311907.431198
58,"[True, False, True, False]",10,2.0006215572357178,1753311909.4318194
59,"[False, False, False, False]",0,2.001305341720581,1753311911.4331248
60,"[False, True, False, False]",4,0.0019969940185546875,1753311911.4351218
61,"[False, True, False, True]",5,1.9999775886535645,1753311913.4350994
62,"[True, False, False, True]",9,1.9997773170471191,1753311915.4348767
63,"[True, False, True, False]",10,1.9994544982910156,1753311917.4343312
64,"[False, True, False, False]",4,2.0185606479644775,1753311919.4528918
65,"[False, True, False, True]",5,1.9847962856292725,1753311921.437688
66,"[True, False, False, True]",9,2.000645399093628,1753311923.4383335
67,"[True, False, True, False]",10,2.0001585483551025,1753311925.438492
68,"[False, False, False, False]",0,2.0005624294281006,1753311927.4390545
69,"[False, True, False, False]",4,0.0020003318786621094,1753311927.4410548
70,"[False, True, False, True]",5,1.9985606670379639,1753311929.4396155
71,"[True, False, False, True]",9,2.0001397132873535,1753311931.4397552
72,"[True, False, True, False]",10,2.0006699562072754,1753311933.4404252
73,"[False, True, False, False]",4,2.00140643119812,1753311935.4418316
74,"[False, True, False, True]",5,2.000373125076294,1753311937.4422047
75,"[True, False, False, True]",9,2.000265121459961,1753311939.4424698
76,"[True, False, True, False]",10,1.9994192123413086,1753311941.441889
77,"[False, True, False, False]",4,2.002028226852417,1753311943.4439173
78,"[False, True, False, True]",5,2.0020411014556885,1753311945.4459584
79,"[True, False, False, True]",9,1.9998645782470703,1753311947.445823
80,"[True, False, True, False]",10,1.999650239944458,1753311949.4454732
81,"[False, False, False, False]",0,1.6923794746398926,1753311951.1378527
82,"[False, False, False, False]",0,30.000566482543945,1753311981.1384192
